arm,level,concord,seed,n_ad6,stop_reason,n_joint_shadow,terminal_post_corr,t1_max_dev,verdicts,true_l
ON,-0.6,concordant,55055,249,all_resolved,,0.026575114987709734,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55055,185,all_resolved,,-0.011545674089635182,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55056,191,all_resolved,,0.01351530127326551,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55056,205,all_resolved,,0.006356523553828017,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55057,207,all_resolved,,-0.003556833133959286,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55057,300,bank_exhausted,,-0.02424140381473163,0.0,FAIL|FAIL|FAIL|REFER_BORDERLINE|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55058,300,all_resolved,,0.003221383644710011,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55058,176,all_resolved,,-0.0003299137958951435,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55059,180,all_resolved,,0.0003089117348249565,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55059,275,all_resolved,,0.015614309337771536,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55060,247,all_resolved,,0.005782866498710947,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55060,219,all_resolved,,-0.007419883158986516,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55061,191,all_resolved,,0.0004962880698192824,0.0,PASS|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55061,174,all_resolved,,-0.008691071104915946,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
